Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹)
Fiat Avventura (2015),Power Up 1.3 Emotion,DIESEL,19018.0 KM,MANUAL,1st Owner,"Indira Nagar, Bengaluru",01-18-2022,675000
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0 KM,MANUAL,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0 KM,MANUAL,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000
Maruti Suzuki Alto 800 (2015),2012-2016 LXI,PETROL,63000.0 KM,MANUAL,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,220000
Hyundai Creta (2017),1.6 SX Plus,PETROL,41545.0 KM,MANUAL,1st Owner,"Madhapur, Hyderabad",09-30-2021,1095000
Renault Kwid (2016),RXL,PETROL,90000 KM,MANUAL,First Owner,"Now Gam, Nowgam",01-13-2022,230000
Renault Kwid (2016),RXL,PETROL,90000 KM,MANUAL,First Owner,"Now Gam, Nowgam",01-13-2022,230000
Maruti Suzuki Wagon R (2018),CNG LXI Opt,CNG,120000 KM,MANUAL,First Owner,"Shivaji Nagar, Mumbai",01-13-2022,380000
Maruti Suzuki Wagon R (2018),CNG LXI Opt,CNG,120000 KM,MANUAL,First Owner,"Shivaji Nagar, Mumbai",01-13-2022,380000
Maruti Suzuki Wagon R Duo (2011),Others,LPG,"90,320 KM",AUTOMATIC,4+ Owner,"Badi Bazar, Pihani",01-27-2022,180000
Maruti Suzuki Wagon R Duo (2011),Others,LPG,"90,320 KM",AUTOMATIC,4+ Owner,"Badi Bazar, Pihani",01-27-2022,180000
Tata Indica (2008),DLS,DIESEL,"125,250 KM",MANUAL,3rd Owner,"Thondankulangara, Alappuzha",01-27-2022,65000
Maruti Suzuki 800 (2007),Others,PETROL,"75,000 KM",AUTOMATIC,2nd Owner,"Tazipora, Mohmmad Pora",01-27-2022,70000
Hyundai Aura (2021),SX Plus Manual,PETROL,"4,000 KM",MANUAL,1st Owner,"Ganga Bazar, Itanagar",01-27-2022,750000
Mahindra Thar (2021),LX 4-STR Hard Top AT,DIESEL,1.0 KM,AUTOMATIC,1st Owner,"Calicut Airport, Kozhikode",01-27-2022,1950000
Tata Safari Storme (2016),VX,DIESEL,"67,000 KM",MANUAL,1st Owner,"Police Lines, Varanasi",01-27-2022,725000
Maruti Suzuki Swift Dzire (2012),LDI,DIESEL,79300.0 KM,MANUAL,2nd Owner,"Akurdi, Pune",01-27-2022,380000
Hyundai I20 (2013),1.4 Sportz,DIESEL,"83,000 KM",MANUAL,3rd Owner,"Jain Nagar, Meerut",01-27-2022,290000
Hyundai Santro Xing (2011),GLS,PETROL,"42,000 KM",AUTOMATIC,1st Owner,"Mukundapur, Kolkata",01-27-2022,127000
Tata Safari Storme (2016),VX,DIESEL,"67,000 KM",MANUAL,1st Owner,"Police Lines, Varanasi",01-27-2022,725000
Maruti Suzuki Swift (2014),2011-2014 VDI,DIESEL,"115,625 KM",MANUAL,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,415000
Maruti Suzuki Swift (2014),2011-2014 VDI,DIESEL,"115,625 KM",MANUAL,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,415000
Mahindra Bolero (2006),2001-2010 DI,DIESEL,"120,000 KM",AUTOMATIC,3rd Owner,"Hasanpur, Bakhri",01-27-2022,171000
Nissan Micra (2016),XL CVT,PETROL,31000.0 KM,AUTOMATIC,1st Owner,"Shahibag, Ahmedabad",01-06-2022,210000
Nissan Micra (2016),XL CVT,PETROL,31000.0 KM,AUTOMATIC,1st Owner,"Shahibag, Ahmedabad",01-06-2022,210000
Nissan Micra (2014),2012-2017 Diesel XL,DIESEL,"81,321 KM",MANUAL,1st Owner,"Ganga Nagar, Meerut",01-27-2022,210000
Hyundai I10 (2011),Magna 1.2 iTech SE,PETROL,"63,800 KM",MANUAL,2nd Owner,"Mudichur, Chennai",01-27-2022,260000
Hyundai I10 (2011),Magna 1.2 iTech SE,PETROL,"63,800 KM",MANUAL,2nd Owner,"Mudichur, Chennai",01-27-2022,260000
Ford Ecosport (2016),1.5 Diesel Titanium Plus,DIESEL,62000.0 KM,MANUAL,1st Owner,"Amar Colony, Delhi",01-27-2022,580000
Toyota Etios (2012),2010-2012 GD,DIESEL,"170,000 KM",MANUAL,2nd Owner,"Burempet, Narasaraopet",01-27-2022,399999
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0 KM,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000
Mahindra Xuv500 (2017),W6 2WD,DIESEL,85000.0 KM,MANUAL,2nd Owner,"Vikaspuri, Delhi",01-27-2022,780000
