Brand & Model,Varient,Fuel Type,Driven Kilometers,Transmission,Owner,Location,Date of Posting Ad,Price (in ₹)
2019 Renault Kwid,['DELTA'],Petrol,"20,810 km",Manual,1st Owner,"Ramesh Nagar, Delhi",01-27-2022,764599
2018 Maruti Alto 800,['1.2'],Petrol,"33,946 km",Manual,1st Owner,"Ramesh Nagar, Delhi",01-27-2022,474499
2014 Hyundai i20,['K12'],Petrol,"48,690 km",Manual,1st Owner,"Indira Nagar, Bengaluru",01-18-2022,753199
2009 Toyota Corolla Altis,['1.5'],Petrol,"1,45,640 km",Manual,2nd Owner,"Indira Nagar, Bengaluru",01-18-2022,596099
2013 Toyota Corolla Altis,['E'],Diesel,"37,277 km",Manual,2nd Owner,"Khandagiri, Bhubaneshwar",01-18-2022,515999
2011 Hyundai i20,['MT'],Petrol,"44,007 km",Manual,1st Owner,"Khandagiri, Bhubaneshwar",01-18-2022,557499
2011 Hyundai i10,['PETROL'],Petrol,"55,623 km",Manual,2nd Owner,"Khandagiri, Bhubaneshwar",01-18-2022,710499
2016 Hyundai Grand i10,['1.5'],Petrol,"26,951 km",Manual,1st Owner,"Madhapur, Hyderabad",09-30-2021,719999
2012 Ford Fiesta,['AMBIENTE'],Diesel,"68,356 km",Manual,1st Owner,"Now Gam, Nowgam",01-13-2022,740799
2018 Renault Kwid,['TI'],Petrol,"33,167 km",Manual,1st Owner,"Now Gam, Nowgam",01-13-2022,479899
2009 Maruti A Star,['VCT'],Petrol,"1,09,914 km",Manual,1st Owner,"Shivaji Nagar, Mumbai",01-13-2022,502399
2016 Nissan Terrano,['LXI'],Petrol,"61,139 km",Manual,1st Owner,"Shivaji Nagar, Mumbai",01-13-2022,756599
2013 Ford Figo,['1.5'],Diesel,"75,454 km",Manual,1st Owner,"Badi Bazar, Pihani",01-27-2022,586599
2017 Mahindra Bolero,['TREND'],Diesel,"95,145 km",Manual,1st Owner,"Badi Bazar, Pihani",01-27-2022,576499
2009 Maruti Alto,['TDCI'],Petrol,"1,19,227 km",Manual,1st Owner,"Thondankulangara, Alappuzha",01-27-2022,391799
2014 Ssangyong Rexton,['VDI'],Diesel,"45,187 km",Manual,1st Owner,"Tazipora, Mohmmad Pora",01-27-2022,761599
2014 Mahindra Scorpio,['OPT'],Diesel,"45,347 km",Manual,1st Owner,"Ganga Bazar, Itanagar",01-27-2022,729799
2010 Honda City,['ALPHA'],Petrol,"1,13,701 km",Manual,2nd Owner,"Calicut Airport, Kozhikode",01-27-2022,730899
2013 Hyundai Eon,['1.3'],Petrol,"1,06,269 km",Manual,1st Owner,"Police Lines, Varanasi",01-27-2022,568299
2010 Maruti Ritz,['DDIS'],Petrol,"27,052 km",Manual,1st Owner,"Akurdi, Pune",01-27-2022,438899
2018 Mahindra Bolero,['SHVS'],Diesel,"51,739 km",Manual,1st Owner,"Jain Nagar, Meerut",01-27-2022,634699
2017 Maruti Dzire,['BASE'],Diesel,"1,09,291 km",Manual,1st Owner,"Mukundapur, Kolkata",01-27-2022,628399
2013 Honda City,['1.2'],Petrol,"44,119 km",Manual,1st Owner,"Police Lines, Varanasi",01-27-2022,601499
2015 Maruti Swift Dzire,['VDI'],Diesel,"1,07,296 km",Manual,2nd Owner,"Indira Nagar, Visakhapatnam",01-27-2022,813399
2017 Maruti Dzire,['OPT'],Diesel,"56,502 km",Manual,1st Owner,"Indira Nagar, Visakhapatnam",01-27-2022,1189199
2016 Maruti Swift,['1.5'],Petrol,"17,139 km",Manual,1st Owner,"Hasanpur, Bakhri",01-27-2022,853199
2017 Maruti Ertiga,['AMBIENTE'],Diesel,"1,18,264 km",Manual,1st Owner,"Shahibag, Ahmedabad",01-06-2022,834799
2013 Maruti Swift,['TI'],Diesel,"82,987 km",Manual,1st Owner,"Shahibag, Ahmedabad",01-06-2022,846299
2013 Honda Amaze,['VCT'],Petrol,"89,197 km",Automatic,1st Owner,"Ganga Nagar, Meerut",01-27-2022,783999
2016 Maruti Ciaz,['LXI'],Petrol,"63,494 km",Manual,1st Owner,"Mudichur, Chennai",01-27-2022,621999
2016 Tata Tiago,['2.8'],Petrol,"49,812 km",Manual,1st Owner,"Mudichur, Chennai",01-27-2022,672999
2017 Maruti IGNIS,['GX'],Petrol,"38,691 km",Manual,1st Owner,"Amar Colony, Delhi",01-27-2022,631899
2015 Audi Q3,['AT'],Diesel,"67,720 km",Automatic,1st Owner,"Burempet, Narasaraopet",01-27-2022,676099
2013 Renault Duster,['7'],Diesel,"96,788 km",Manual,2nd Owner,"Vikaspuri, Delhi",01-27-2022,828899
2016 Maruti Baleno,['STR'],Petrol,"48,162 km",Manual,1st Owner,"Vikaspuri, Delhi",01-27-2022,875599
2014 Honda City,['W6'],Petrol,"37,322 km",Manual,1st Owner,"Vikaspuri, Delhi",01-27-2022,1909999
2016 Ford Ecosport,['4X2'],Petrol,"34,842 km",Manual,1st Owner,"Vikaspuri, Delhi",01-27-2022,746799
2017 Maruti Wagon R 1.0,['FLUIDIC'],Petrol,"40,513 km",Manual,1st Owner,"Pitampura, Delhi",11-07-2021,850499
2014 Ford Ecosport,['1.6'],Diesel,"97,613 km",Manual,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,457899
2017 Maruti Vitara Brezza,['SX'],Diesel,"35,231 km",Manual,2nd Owner,"Indira Nagar, Bengaluru",12-03-2021,527499
2017 Maruti Ciaz,['VTVT'],Diesel,"60,642 km",Manual,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1107899
2014 Hyundai Xcent,['ZETA'],Petrol,"42,384 km",Manual,1st Owner,"Indira Nagar, Bengaluru",12-03-2021,1391999
2016 Maruti Vitara Brezza,['1.2'],Diesel,"41,629 km",Manual,1st Owner,"Madhuram, Junagadh",01-27-2022,611499
2015 Ford Ecosport,['K12'],Petrol + CNG,"43,635 km",Manual,1st Owner,"Sector 38 Noida Golf Course, Noida",01-27-2022,316999
2018 Maruti Dzire,['VXI'],Petrol,"9,838 km",Manual,1st Owner,"Sector 38 Noida Golf Course, Noida",01-27-2022,636999
2019 Toyota Innova Crysta,['HTK'],Diesel,"31,813 km",Automatic,1st Owner,"Tilak Nagar, Delhi",01-27-2022,191399
2017 Mahindra XUV500,['1.5'],Diesel,"1,93,599 km",Manual,1st Owner,"Tilak Nagar, Delhi",01-27-2022,334899
2017 Hyundai Verna,['I'],Petrol,"23,327 km",Manual,1st Owner,"Shahdara, Delhi",01-13-2022,731699
2016 Maruti Baleno,['1.2'],Petrol,"34,818 km",Manual,1st Owner,"Kathreguppe, Bengaluru",01-27-2022,437299
2012 Maruti Alto K10,['SMT'],Petrol,"21,214 km",Manual,1st Owner,"Diakkwan, Kolasib",01-27-2022,716799
2020 KIA SELTOS,['I'],Petrol,"5,822 km",Manual,1st Owner,"Diakkwan, Kolasib",01-27-2022,313499
2018 Honda Amaze,['VTEC'],Petrol,"27,905 km",Manual,1st Owner,"Sector 23A, Gurgaon",01-27-2022,313599
2018 Hyundai Elite i20,['Magna'],Petrol,"23,758 km",Manual,1st Owner,"Mohan Nagar, Ghaziabad",01-27-2022,1603999
2016 Maruti Vitara Brezza,['Executive'],Diesel,"29,749 km",Manual,1st Owner,"Gurung Basti, Siliguri",01-27-2022,466699
2014 Honda City,['1.2'],Petrol,"79,527 km",Manual,1st Owner,"Gurung Basti, Siliguri",01-27-2022,1235999
2018 Tata Tiago,['ZDI'],Petrol,"14,692 km",Automatic,1st Owner,"Goripalayam, Madurai",01-11-2022,475799
2016 Skoda Superb,['PLUS'],Petrol,"38,718 km",Automatic,1st Owner,"Goripalayam, Madurai",01-11-2022,701699
2019 Maruti Swift,['DUAL'],Petrol,"3,719 km",Manual,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,564899
2017 Maruti Alto K10,['TONE'],Petrol,"58,529 km",Manual,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,516099
2016 Hyundai Elite i20,['V'],Petrol,"99,791 km",Manual,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,714599
2015 Hyundai Creta,['MT'],Diesel,"89,521 km",Manual,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,553599
2018 Maruti Baleno,['PETROL'],Petrol,"17,052 km",Manual,1st Owner,"Golf Course Road, Gurgaon",01-27-2022,792399
2018 Maruti Baleno,['XZA'],Petrol,"41,094 km",Manual,1st Owner,"Sajan Nagar, Sitamarhi",01-27-2022,527699
2017 Maruti Alto 800,['1.2'] ,Petrol,"10,847 km",Manual,1st Owner,"MIDC Road, Mumbai",01-13-2022,452799
2018 Maruti Baleno,['REVOTRON'],Petrol,"7,950 km",Manual,1st Owner,"Khajaguda, Hyderabad",01-01-2022,860699
2019 Maruti Ertiga,['1.8'],Petrol,"11,476 km",Manual,1st Owner,"Khajaguda, Hyderabad",01-01-2022,911999
2019 Tata Tiago,['TSI'],Petrol,"5,332 km",Manual,1st Owner,"Maradu, Kochi",01-03-2022,771899
2015 Hyundai Creta,['LK'],Petrol,"53,083 km",Manual,1st Owner,"Maradu, Kochi",01-03-2022,750799
2018 Maruti Vitara Brezza,['AT'],Diesel,"58,549 km",Manual,1st Owner,"Maradu, Kochi",01-03-2022,753599
2018 Maruti Vitara Brezza,['VXI'],Diesel,"82,601 km",Manual,2nd Owner,"Kasaridih, Durg",01-10-2022,786599
2021 HYUNDAI NEW I20,['VXI'],Petrol,"1,026 km",Manual,1st Owner,"Kasaridih, Durg",01-10-2022,778199
2018 Maruti Alto 800,['MAGNA'],Petrol,"6,895 km",Manual,1st Owner,"Najafgarh, Delhi",01-13-2022,787899
2018 Maruti Alto 800,['1.2'],Petrol,"20,410 km",Manual,1st Owner,"Khed Shivapur, Pune",01-13-2022,394099
2017 Skoda Superb,['1.6'],Petrol,"19,965 km",Automatic,1st Owner,"Khed Shivapur, Pune",01-13-2022,306599
2012 Hyundai Verna,['SX'],Diesel,"1,12,865 km",Manual,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,317099
2019 Tata Tiago,['(O)'],Petrol,"32,535 km",Manual,2nd Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,794899
2018 Ford Ecosport,['CRDI'],Diesel,"52,134 km",Manual,2nd Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,562499
2014 Hyundai Xcent,['DELTA'],Petrol,"63,251 km",Manual,1st Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,608899
2019 Maruti Baleno,['1.2'],Petrol,"20,976 km",Manual,2nd Owner,"Moonnu Mukku Junction, Attingal",01-27-2022,606699
2018 Mahindra Thar,['K12'],Diesel,"24,191 km",Manual,1st Owner,"Khed Shivapur, Pune",Maharashtra,900599
2021 Hyundai VENUE,['DELTA'],Petrol,"3,229 km",Manual,1st Owner,"Najafgarh, Delhi",Delhi,1740299
2019 Maruti Alto,['1.2'],Petrol,"23,089 km",Manual,2nd Owner,"Najafgarh, Delhi",Delhi,821799
2018 Tata NEXON,['K12'],Petrol,"25,903 km",Manual,2nd Owner,"Bandra West, Mumbai",01-27-2022,844899
2020 MG HECTOR,['LXI'],Petrol,"3,094 km",Manual,1st Owner,"Bandra West, Mumbai",01-27-2022,816899
2019 Maruti New Wagon-R,['DELTA'],Petrol,"12,445 km",Manual,1st Owner,"Andheri West, Mumbai",01-27-2022,388699
2020 Maruti Alto,['1.2'],Petrol,"11,654 km",Manual,1st Owner,"Andheri West, Mumbai",01-27-2022,841299
2017 Maruti IGNIS,['K12'],Petrol,"18,060 km",Automatic,1st Owner,"Andheri West, Mumbai",01-27-2022,391599
2014 Maruti Ertiga,['VXI'],Diesel,"66,132 km",Manual,1st Owner,"Andheri West, Mumbai",01-27-2022,344499
2013 Hyundai i20,['SMART'],Diesel,"57,465 km",Manual,1st Owner,"Andheri West, Mumbai",01-27-2022,854199
2016 Renault Kwid,['HYBRID'],Petrol,"49,248 km",Manual,1st Owner,"Rajarampuri, Kolhapur",01-27-2022,272199
2013 Hyundai i20,['XZ'],Petrol,"43,949 km",Manual,1st Owner,"Rajarampuri, Kolhapur",01-27-2022,367099
2015 Maruti Ertiga,['1.2'],Petrol,"43,104 km",Manual,1st Owner,"New Shahupuri, Kolhapur",01-27-2022,352499
2016 Hyundai Creta,['REVOTRON'],Diesel,"54,233 km",CRDI,1st Owner,"Muvattupuzha, Muvattupuzha",01-27-2022,592499
2013 Ford Ecosport,['1.6'],Diesel,"1,13,857 km",Manual,2nd Owner,"Barackpore, Kolkata",01-27-2022,449699
2017 Maruti Dzire,['SX'],Petrol,"22,432 km",Automatic,1st Owner,"New Shahupuri, Kolhapur",01-27-2022,397099
2018 Maruti Dzire,['PLUS'],Petrol,"42,575 km",Manual,2nd Owner,"New Shahupuri, Kolhapur",01-27-2022,382199
2014 Renault Duster,['PETROL'],Diesel,"51,727 km",Manual,1st Owner,"Muvattupuzha, Muvattupuzha",01-27-2022,325399
2018 Tata Tiago,['VDI'],Petrol,"37,606 km",Manual,1st Owner,"Barackpore, Kolkata",01-27-2022,345099
2015 Hyundai i10,['VDI'],Petrol,"61,140 km",Manual,1st Owner,"Brahmsthan, Azamgarh",01-27-2022,578799
2012 Toyota Etios,['MAGNA'],Diesel,"55,275 km",Manual,1st Owner,"Brahmsthan, Azamgarh",01-27-2022,395899
2018 Maruti S Cross,['1.2'],Diesel,"40,899 km",Manual,1st Owner,"Dahisar East, Mumbai",01-27-2022,695499
2014 Hyundai Grand i10,['MT'],Petrol + CNG,"50,787 km",Manual,1st Owner,"New Shahupuri, Kolhapur",01-27-2022,335599
2017 Hyundai Grand i10,['LXI'],Petrol,"24,778 km",Manual,1st Owner,"New Shahupuri, Kolhapur",01-27-2022,394799
2019 Hyundai VENUE,['LXI'],Diesel,"25,835 km",Manual,1st Owner,"Shashtri Nagar, Delhi",Delhi,328299
2016 Maruti Ciaz,['1.8'],Diesel,"56,758 km",Manual,1st Owner,"Gokul Nagar, Udaipur",01-27-2022,355699
2017 Hyundai Verna,['TSI'],Diesel,"43,938 km",Automatic,1st Owner,"Sector 62, Noida",01-27-2022,353899
2017 Ford Ecosport,['LK'],Petrol + CNG,"40,392 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,548099
2015 Toyota Etios,['AT'],Diesel,"62,623 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",01-27-2022,355799
2018 Ford Ecosport,['FLUIDIC'],Diesel,"40,788 km",Manual,1st Owner,"Baavi, Medarametla",01-27-2022,322399
2018 Ford Ecosport,['1.6'],Petrol,"25,232 km",Manual,1st Owner,"Tilak Nagar, Delhi",01-27-2022,559199
2017 Hyundai Grand i10,['SX'],Petrol + CNG,"73,246 km",Manual,1st Owner,"Tilak Nagar, Delhi",01-27-2022,344499
2018 Hyundai Elite i20,['CRDI'],Petrol + CNG,"22,389 km",Manual,1st Owner,"Drivers Colony, Bhadrachalam",01-27-2022,504899
2015 Honda Amaze,['XT'],Petrol,"40,386 km",Manual,1st Owner,"Dabeerpura, Hyderabad",01-27-2022,344499
2018 Maruti Swift,['1.2'],Petrol,"34,860 km",Manual,1st Owner,"Dabeerpura, Hyderabad",01-27-2022,344499
2014 Maruti Ciaz,['REVOTRON'],Diesel,"1,23,906 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",01-27-2022,344499
2019 Ford Ecosport,['1.5'],Diesel,"53,457 km",Manual,1st Owner,"Tidke Nagar, Nashik",01-27-2022,334799
2019 Maruti Vitara Brezza,['AMBIENTE'],Diesel,"32,662 km",Automatic,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,387899
2015 Toyota Fortuner,['TDCI'],Diesel,"90,313 km",Automatic,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,501199
2017 Hyundai Grand i10,['S'],Petrol,"46,481 km",Manual,1st Owner,"Umiya Nagar, Nadiad",01-27-2022,503399
2017 Maruti Swift,['1.2'],Petrol,"25,227 km",Manual,1st Owner,"Golpark, Kolkata",01-27-2022,330399
2020 Maruti Baleno,['DELTA'],Petrol,"3,514 km",Manual,1st Owner,"Richmond Road, Bengaluru",01-27-2022,332399
2018 Maruti Baleno,['1.2'],Petrol,"26,412 km",Manual,1st Owner,"Richmond Road, Bengaluru",01-27-2022,353899
2011 Hyundai i10,['K12'],Petrol,"43,597 km",Manual,1st Owner,"New Timber Market Area, Raipur",01-27-2022,353899
2013 Maruti Swift,['CRDE'],Diesel,"1,08,136 km",Manual,1st Owner,"New Timber Market Area, Raipur",01-27-2022,334999
2017 Maruti Swift,['4X4'],Petrol,"46,758 km",Manual,1st Owner,"Mr 10 Road, Indore",01-08-2022,513499
2015 Maruti Wagon R 1.0,['BS'],Petrol,"64,888 km",Manual,1st Owner,"Mr 10 Road, Indore",01-08-2022,379599
2015 Hyundai Grand i10,['IV'],Petrol,"63,396 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",01-27-2022,639099
2020 Maruti Vitara Brezza,['S'],Petrol,"20,024 km",Automatic,1st Owner,"Mehdipatnam, Hyderabad",01-27-2022,612399
2014 Maruti Ritz,['MT'],Diesel,"70,124 km",Manual,1st Owner,"Dabeerpura, Hyderabad",01-27-2022,507899
2013 Hyundai i10,['1.2'],Petrol,"38,356 km",Manual,1st Owner,"New Timber Market Area, Raipur",01-27-2022,340399
2018 Maruti Wagon R 1.0,['KAPPA'],Petrol + CNG,"81,282 km",Manual,1st Owner,"Sabzi Mandi, Shimla",01-27-2022,529899
2013 Maruti Swift Dzire,['LXI'],Diesel,"1,11,192 km",Manual,2nd Owner,"Khed Shivapur, Pune",Maharashtra,1090499
2013 Maruti Swift,['XM'],Petrol,"17,576 km",Manual,1st Owner,"Mr 10 Road, Indore",01-08-2022,347499
2017 Maruti Celerio,['1.2'],Petrol,"30,741 km",Automatic,1st Owner,"Janakpuri, Delhi",01-25-2022,390999
2016 Maruti Alto K10,['SHARP'],Petrol,"33,715 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,340999
2015 Maruti Alto 800,['HYBIRD'],Petrol,"44,564 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,341599
2017 Maruti Alto K10,['PETROL'],Petrol,"28,704 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,453699
2019 Maruti Eeco,['MT'],Petrol,"8,579 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,454599
2018 Maruti Alto 800,['VXI'],Petrol,"7,273 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,357899
2013 Maruti Alto K10,['1.0'],Petrol,"16,372 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,342299
2019 Maruti Alto K10,['LXI'],Petrol,"25,771 km",Manual,1st Owner,"Sector 62, Noida",01-27-2022,351899
2014 Volkswagen Vento,['DELTA'],Diesel,"41,389 km",Manual,1st Owner,"Janakpuri, Delhi",01-25-2022,470599
2018 Renault Kwid,['1.2'],Petrol,"9,355 km",Manual,1st Owner,"Najafgarh, Delhi",Delhi,404599
2014 Maruti Swift Dzire,['K12'],Diesel,"55,542 km",Manual,2nd Owner,"Najafgarh, Delhi",Delhi,360099
2017 Maruti Swift,['AMT'],Petrol,"19,497 km",Manual,2nd Owner,"Khed Shivapur, Pune",Maharashtra,409599
2017 Maruti Swift,['ZDI'],Petrol,"58,273 km",Manual,1st Owner,"Tidke Nagar, Nashik",01-27-2022,365499
2014 Honda Mobilio,['SPORTZ'],Diesel,"50,873 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",01-27-2022,369999
2017 Maruti Ertiga,['1.4'],Diesel,"16,930 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",01-27-2022,386399
2012 Hyundai Verna,['CRDI'],Petrol,"25,373 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",01-27-2022,710599
2017 Renault Kwid,['RXT'],Petrol,"15,405 km",Manual,1st Owner,"Jubilee Hills, Hyderabad",01-27-2022,381999
2017 Maruti Ertiga,['Opt'],Diesel,"87,376 km",Manual,2nd Owner,"Saha Industrial Area, Saha",01-27-2022,361199
2017 Maruti Swift,['SPORTZ'],Diesel,"70,153 km",Manual,1st Owner,"Assissi Nagar, Aluva",01-14-2022,830199
2017 Toyota Etios,['1.2'],Diesel,"51,852 km",Manual,1st Owner,"Assissi Nagar, Aluva",01-14-2022,375999
2013 Toyota Etios,['VTVT'],Diesel,"47,074 km",Manual,2nd Owner,"NGO Colony, Pamur",01-27-2022,358599
2016 Maruti Ciaz,['VXI'],Petrol,"61,043 km",Manual,1st Owner,"Anna Bhau Sathe Chowk, Nanded",01-27-2022,316399
2015 Maruti Swift,['1.4'],Petrol + CNG,"1,32,471 km",Manual,1st Owner,"Parasakthi Colony, Sivakasi",01-27-2022,385099
2017 Maruti Wagon R 1.0,['S'],Petrol,"28,190 km",Manual,1st Owner,"Anthiyoorkonam, Thiruvananthapuram",01-27-2022,384899
2019 Renault Kwid,['1.5'],Petrol,"1,179 km",Manual,1st Owner,"Jubilee Hills, Hyderabad",01-27-2022,394499
2021 Maruti XL6,['AMBIENTE'],Petrol,"2,685 km",Manual,1st Owner,"Jubilee Hills, Hyderabad",01-27-2022,447899
2016 Toyota Corolla Altis,['TDCI'],Petrol,"74,661 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",01-27-2022,454699
2015 Hyundai Grand i10,['ZXI'],Diesel,"62,491 km",Manual,1st Owner,"Mehdipatnam, Hyderabad",01-27-2022,417299
2015 Honda Amaze,['AMT'],Petrol,"68,693 km",Manual,1st Owner,"Khed Shivapur, Pune",Maharashtra,418499
2017 Honda WR-V,['VXI'],Petrol,"16,683 km",Manual,1st Owner,"Kulswamini Vihar, Amravati",01-27-2022,353999
2019 Maruti Swift,['85'],Petrol,"22,626 km",Manual,2nd Owner,"Narela, Delhi",01-27-2022,414399
2019 Hyundai Creta,['PS'],Petrol,"3,983 km",Automatic,1st Owner,"Narela, Delhi",01-27-2022,365299
2019 Hyundai Creta,['RXL'],Petrol,"5,925 km",Automatic,1st Owner,"Kulswamini Vihar, Amravati",01-27-2022,484299
2017 Maruti Alto 800,['XM'],Petrol,"46,246 km",Manual,2nd Owner,"Saraswati Vihar, Amritsar",01-27-2022,368199
2018 Maruti IGNIS,['1.2'],Petrol,"38,369 km",Automatic,2nd Owner,"Saraswati Vihar, Amritsar",01-27-2022,384899
2020 Maruti Baleno,['REVOTRON'],Petrol,"7,052 km",Manual,1st Owner,"Bharat Nagar, Sillod",01-27-2022,394499
2019 Honda Civic,['SPORTZ'],Diesel,"40,820 km",DIESEL,2nd Owner,"Madhapur, Hyderabad",01-27-2022,421199
2016 Honda Jazz,['1.1'],Petrol,"39,344 km",Manual,1st Owner,"Vaishali Nagar, Jaipur",01-22-2022,366799
2019 Maruti Baleno,['IRDE2'],Petrol,"19,933 km",Automatic,1st Owner,"Rohini, Delhi",Delhi,441999
2014 Hyundai Eon,['GD'],Petrol,"8,783 km",Manual,2nd Owner,Oulgaret,01-27-2022,480799
2012 Honda Brio,['ZETA'],Petrol,"27,194 km",Manual,1st Owner,"Santacruz West, Mumbai",01-27-2022,329599
2019 Maruti Alto 800,['1.3'],Petrol,"20,099 km",Manual,1st Owner,"Santacruz West, Mumbai",01-27-2022,429099
2012 Honda Brio,['SHVS'],Petrol,"46,959 km",Manual,1st Owner,"Madhapur, Hyderabad",01-27-2022,498599
2018 Hyundai Grand i10,['SPORTZ'],Petrol,"16,864 km",VTVT,1st Owner,"Royal Enclave, Jodhpur",Rajasthan,498599
2017 Hyundai Grand i10,['1.2'],Petrol,"49,965 km",Manual,1st Owner,"Royal Enclave, Jodhpur",Rajasthan,402999
2019 MG HECTOR,['KAPPA'],Petrol,"83,626 km",Automatic,1st Owner,"Attapur, Hyderabad",01-27-2022,376599
2014 Maruti Ritz,['VTVT'],Diesel,"79,805 km",Manual,2nd Owner,"Andheri West, Mumbai",01-07-2022,363899
2012 Maruti Swift,['ASTA'],Diesel,"82,702 km",Manual,1st Owner,"Sector 71, Noida",01-09-2022,423799
2019 Hyundai Creta,['1.2'],Petrol,"14,976 km",Automatic,1st Owner,"Ahiritola, Kolkata",01-23-2022,425099
2017 Hyundai Grand i10,['KAPPA'],Petrol,"47,417 km",Manual,2nd Owner,"Chelavoor, Pantheeramkavu",01-13-2022,401999
2015 Maruti Swift,['VTVT'],Petrol,"34,459 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,384599
2017 Maruti Baleno,['SX'],Petrol,"23,537 km",Automatic,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,443899
2019 Hyundai GRAND I10 NIOS,['SX(O)'],Petrol,"12,867 km",AT,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,443799
2014 Ford Ecosport,['CRDi'],Petrol,"58,943 km",Automatic,1st Owner,"Sector 71, Noida",01-09-2022,400899
2018 Maruti Celerio,['ZDI'],Petrol,"27,816 km",Manual,1st Owner,"Ahiritola, Kolkata",01-23-2022,433999
2015 Maruti Celerio,['ZDI+'],Petrol,"40,437 km",Automatic,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,324599
2014 Toyota Corolla Altis,['SHVS'],Petrol,"21,567 km",Automatic,1st Owner,"Sion East, Mumbai",01-27-2022,456899
2014 Toyota Corolla Altis,['1.6'],Diesel,"1,03,033 km",Manual,1st Owner,"Sion East, Mumbai",01-27-2022,371099
2016 Maruti Swift Dzire,['CRDI'],Diesel,"79,048 km",ABS,1st Owner,"Sector 71, Noida",01-09-2022,369899
2017 Hyundai Eon,['SX'],Petrol,"13,373 km",Manual,1st Owner,"Ahiritola, Kolkata",01-23-2022,514199
2013 Maruti Swift,['+'],Petrol,"27,428 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,338299
2013 Toyota Innova,['AT'],Diesel,"63,747 km",Manual,1st Owner,"Sector 71, Noida",01-09-2022,391299
2016 Maruti Swift Dzire,['1.5'],Diesel,"54,447 km",Manual,1st Owner,"Ahiritola, Kolkata",01-23-2022,352999
2017 Maruti Vitara Brezza,['TREND'],Diesel,"79,494 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,390099
2019 Maruti Alto,['TI'],Petrol,"43,183 km",Manual,1st Owner,"Sector 71, Noida",01-09-2022,484599
2018 Maruti Dzire,['VCT'],Diesel,"67,097 km",Automatic,1st Owner,"Ahiritola, Kolkata",01-23-2022,407699
2018 Maruti Swift,['VD'],Diesel,"66,535 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,434799
2012 Maruti Swift,['1.4'],Petrol,"41,927 km",Manual,2nd Owner,"Sector 71, Noida",01-09-2022,397699
2016 Renault Duster,['1.5'],Diesel,"58,152 km",Manual,2nd Owner,"Ahiritola, Kolkata",01-23-2022,433999
2014 Maruti Swift Dzire,['TDCI'],Diesel,"96,978 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,383099
2013 Maruti Swift,['TITANIUM'],Diesel,"49,032 km",Manual,1st Owner,"Sector 71, Noida",01-09-2022,437099
2013 Maruti Swift,['PLUS'],Diesel,"40,547 km",Manual,1st Owner,"Ahiritola, Kolkata",01-23-2022,470999
2014 Maruti Ertiga,['1.5'],Diesel,"93,340 km",Manual,1st Owner,"Chelavoor, Pantheeramkavu",01-13-2022,401599
2020 Mahindra XUV 3OO,['TITANIUM'],Petrol,"6,573 km",Manual,1st Owner,"Camac Street Area, Kolkata",01-20-2022,362399
2014 Maruti Swift,['TI'],Diesel,"79,144 km",Manual,1st Owner,"EM Bypass - Science City Area, Kolkata",01-15-2022,483099
2017 Mahindra TUV300,['VCT'],Diesel,"19,065 km",Manual,1st Owner,"EM Bypass - Science City Area, Kolkata",01-18-2022,495599
2013 Maruti Swift,['MAGNA'],Diesel,"67,670 km",Manual,1st Owner,"Camac Street Area, Kolkata",01-20-2022,444799
